rating/kp|name
8.805|1+1
8.538|Джентльмены
7.961|Волк с Уолл-стрит
7.579|Гнев человеческий
8.29|Брат
8.275|Один дома
7.968|Аватар
8.662|Начало
9.108|Побег из Шоушенка
8.317|Зверополис
8.785|Иван Васильевич меняет профессию
9.071|Зеленая миля
8.373|Пираты Карибского моря: Проклятие Черной жемчужины
8.98|Игра престолов
8.618|Интерстеллар
8.261|Гарри Поттер и философский камень
8.08|Достать ножи
8.175|Брат 2
8.986|Рик и Морти
8.916|Форрест Гамп
8.706|Операция «Ы» и другие приключения Шурика
8.654|Бойцовский клуб
8.398|Зеленая книга
8.511|Остров проклятых
8.286|Любовь и голуби
8.06|Мстители: Война бесконечности
8.383|Титаник
6.897|Веном
8.478|Триггер
7.845|Мстители: Финал
8.229|Мажор
7.435|Монастырь
8.641|Криминальное чтиво
7.515|Доктор Стрэндж
7.673|Дюна
7.841|Стражи Галактики
8.497|Матрица
7.989|Области тьмы
8.519|Темный рыцарь
8.043|Рататуй
7.893|Мстители
8.706|Ну, погоди!
8.231|Джанго освобожденный
7.184|Легенда
8.525|Поймай меня, если сможешь
8.541|Джентльмены удачи
8.775|Король Лев
8.109|Шрэк
7.558|Дэдпул
8.722|Тайна Коко
8.244|Ford против Ferrari
8.513|Бриллиантовая рука
8.063|Шерлок Холмс
8.602|Властелин колец: Братство Кольца
8.359|ВАЛЛ·И
8.582|Гладиатор
8.644|Назад в будущее
8.462|Кавказская пленница, или Новые приключения Шурика
7.759|Марсианин
8.219|Гарри Поттер и узник Азкабана
8.669|Леон
8.137|Пираты Карибского моря: Сундук мертвеца
7.714|Иллюзия обмана
7.959|Железный человек
7.665|Беспринципные
8.519|Престиж
8.633|Достучаться до небес
8.861|Шерлок
8.121|Гарри Поттер и Тайная комната
7.834|Лига справедливости Зака Снайдера
7.959|Исчезнувшая
6.764|Холоп
8.418|Москва слезам не верит
7.39|Главный герой
8.379|Душа
8.074|Головоломка
8.22|Как приручить дракона
8|Законопослушный гражданин
7.458|Первому игроку приготовиться
7.979|Бесславные ублюдки
8.654|Властелин колец: Возвращение короля
7.978|Джокер
8.149|Гарри Поттер и Дары Смерти: Часть II
8.105|Пятый элемент
7.686|Дьявол носит Prada
8.599|Властелин колец: Две крепости
8.029|Один дома 2: Затерянный в Нью-Йорке
8.06|Пираты Карибского моря: На краю света
7.58|Круэлла
7.241|Алита: Боевой ангел
8.88|Во все тяжкие
7.664|Живая сталь
8.098|Хоббит: Нежданное путешествие
9.196|Жил-был пёс
7.258|Маша и Медведь
8.963|Гравити Фолз
7.059|Мажор в Сочи
7.527|Довод
8.118|Постучись в мою дверь
8.548|Большой куш